student_id,gender,age,attendance_rate,study_hours_per_day,past_failures,tuition_fee_status,internet_access,course_stream,grade_avg,articleship_completed,audit_hours_logged,ipcc_group_cleared,dropout_status
STU_547426,Female,19,67.63215207689238,4,0,Scholarship,Yes,CA,76.7,No,0,Both,0
STU_395533,Female,19,70.83879978038325,3,0,Scholarship,Yes,Finance,67.7,No,0,Group 1,0
STU_494134,Female,18,66.75614251463492,6,0,Unpaid,Yes,BBA,76.3,Yes,335,None,0
STU_676411,Male,18,75.00051644133617,7,0,Unpaid,Yes,CA,57.6,Yes,436,Both,0
STU_331502,Male,19,58.83155527761291,4,0,Paid,Yes,BBA,64.6,Yes,197,None,1
STU_955020,Male,21,56.1292853263008,3,0,Paid,Yes,BBA,80.0,Yes,428,Group 1,0
STU_403129,Female,18,67.83765829697347,3,0,Scholarship,No,BBA,58.1,No,0,Both,0
STU_502789,Male,19,74.2098855357752,3,0,Paid,Yes,Finance,79.3,Yes,422,Group 1,0
STU_820186,Female,19,80.79738649422112,1,0,Unpaid,Yes,BBA,43.5,Yes,187,Both,1
STU_990311,Female,23,95.13814469237977,8,0,Paid,No,Finance,57.5,No,0,Group 1,0
STU_646948,Female,17,54.86941514510504,3,0,Paid,Yes,B.Com,80.9,Yes,435,Group 1,1
STU_505518,Female,18,62.92878640055437,8,1,Paid,Yes,BBA,63.7,No,0,Both,1
STU_852211,Male,24,74.83767872489194,3,1,Paid,No,CA,72.1,No,0,None,0
STU_130585,Male,20,77.89735210613489,9,1,Paid,No,CA,54.8,Yes,159,Both,1
STU_678432,Female,18,86.0611108837881,5,0,Paid,Yes,BBA,64.5,Yes,233,Both,0
STU_926900,Female,23,66.81785141796182,1,0,Paid,Yes,BBA,70.4,No,0,Both,0
STU_767168,Male,20,76.73095737952748,4,2,Paid,Yes,BBA,59.7,Yes,184,Group 1,0
STU_901500,Female,23,71.44992436764191,4,0,Paid,Yes,B.Com,72.6,Yes,349,Both,0
STU_975228,Male,18,67.38267119606273,4,1,Paid,Yes,B.Com,79.8,No,0,None,0
